Temperature (ºC)	Sample	BIOLOGICAL REPLICATE	sample code for RNA extraction	Codigo CNAG		R1.sequence	R2.sequence	R1.path	R2.path
25	L	R2	D11	AE2919	L_25_R2	CCHR0ANXX_7_18_1.fastq.gz	CCHR0ANXX_7_18_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_18_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_18_2.fastq.gz
25	D	R2	D12	AE2920	D_25_R2	CCHR0ANXX_7_19_1.fastq.gz	CCHR0ANXX_7_19_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_19_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_19_2.fastq.gz
18	L	R2	D13	AE2925	L_18_R2	CCJ02ANXX_5_1_1.fastq.gz	CCJ02ANXX_5_1_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_1_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_1_2.fastq.gz
18	D	R2	D14	AE2926	D_18_R2	CCJ02ANXX_5_3_1.fastq.gz	CCJ02ANXX_5_3_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_3_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_3_2.fastq.gz
34	L	R2	D15	AE2927	L_34_R2	CCJ02ANXX_5_8_1.fastq.gz	CCJ02ANXX_5_8_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_8_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_8_2.fastq.gz
34	D	R2	D16	AE2901	D_34_R2	CCB68ANXX_1_2_1.fastq.gz	CCB68ANXX_1_2_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_2_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_2_2.fastq.gz
10	L	R3	D17	AE2928	L_10_R3	CCJ02ANXX_5_9_1.fastq.gz	CCJ02ANXX_5_9_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_9_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_9_2.fastq.gz
10	D	R3	D18	AE2929	D_10_R3	CCJ02ANXX_5_10_1.fastq.gz	CCJ02ANXX_5_10_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_10_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_10_2.fastq.gz
25	L	R3	D19	AE2930	L_25_R3	CCJ02ANXX_5_11_1.fastq.gz	CCJ02ANXX_5_11_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_11_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_11_2.fastq.gz
25	D	R3	D20	AE2921	D_25_R3	CCHR0ANXX_7_20_1.fastq.gz	CCHR0ANXX_7_20_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_20_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_20_2.fastq.gz
18	L	R3	D21	AE2922	L_18_R3	CCHR0ANXX_7_21_1.fastq.gz	CCHR0ANXX_7_21_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_21_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_21_2.fastq.gz
18	D	R3	D22	AE2902	D_18_R3	CCB68ANXX_1_4_1.fastq.gz	CCB68ANXX_1_4_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_4_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_4_2.fastq.gz
34	L	R3	D23	AE2923	L_34_R3	CCHR0ANXX_7_22_1.fastq.gz	CCHR0ANXX_7_22_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_22_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_22_2.fastq.gz
34	D	R3	D24	AE2924	D_34_R3	CCHR0ANXX_7_23_1.fastq.gz	CCHR0ANXX_7_23_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_23_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_23_2.fastq.gz
18	L	R4	D25	AE2931	L_18_R4	CCJ02ANXX_5_25_1.fastq.gz	CCJ02ANXX_5_25_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_25_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_25_2.fastq.gz
18	D	R4	D26	AE2932	D_18_R4	CCJ02ANXX_5_27_1.fastq.gz	CCJ02ANXX_5_27_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_27_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_27_2.fastq.gz
34	L	R4	D27	AE2903	L_34_R4	CCB68ANXX_1_5_1.fastq.gz	CCB68ANXX_1_5_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_5_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_5_2.fastq.gz
34	D	R4	D28	AE2933	D_34_R4	CCJ02ANXX_5_6_1.fastq.gz	CCJ02ANXX_5_6_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_6_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_18/20180823/FASTQ/CCJ02ANXX_5_6_2.fastq.gz
34	D	R2	D16_2	AE2904	D_34_R2_T1	CCB68ANXX_1_1_1.fastq.gz	CCB68ANXX_1_1_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_1_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_1_2.fastq.gz
18	D	R3	D22_2	AE2905	D_18_R3_T1	CCB68ANXX_1_3_1.fastq.gz	CCB68ANXX_1_3_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_3_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_3_2.fastq.gz
34	L	R4	D27_2	AE2906	L_34_R4_T1	CCB68ANXX_1_8_1.fastq.gz	CCB68ANXX_1_8_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_8_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_8_2.fastq.gz
34	L	R4	D27_3	AE2907	L_34_R4_T2	CCB68ANXX_1_10_1.fastq.gz	CCB68ANXX_1_10_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_10_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_10_2.fastq.gz
34	L	R4	D27_4	AE2908	L_34_R4_T3	CCB68ANXX_1_11_1.fastq.gz	CCB68ANXX_1_11_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_11_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_11_2.fastq.gz
									
Nota: 									
