"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"MED134_07154",859,963,813,1226,1333,822,1456,797,1370,933,1215,759,664,1399,928,707,765,480,837,1204,619,758,888,1069,1009,984,971,756,614,932,823,796,1234
"MED134_07149",1037,1108,960,1448,1507,1025,1727,1019,1542,1152,1453,913,832,1647,1165,956,790,652,958,1459,835,1066,1193,1206,1162,1273,1004,924,897,1164,1168,997,1653
"MED134_07144",9736,9888,9104,12182,12509,9901,14837,8718,14321,9484,13054,8246,8303,15356,11349,9543,7894,6298,9011,13190,7129,9442,8218,10298,10078,9909,12774,8616,8658,11315,10833,10534,17211
"MED134_07139",9920,11042,8382,16363,13128,12426,20031,10282,19441,11668,17952,10634,8151,17047,15567,12692,8229,5998,7895,17421,8310,11398,10234,9553,10543,10364,13983,8660,9349,8165,6726,7507,17974
"MED134_07134",9273,10381,8157,13193,14580,9262,14655,8615,17755,10916,14844,11343,11008,20712,16710,12403,8039,5777,8619,12569,5988,7852,7987,13311,12130,11254,15491,11129,11687,15366,15906,14168,20827
"MED134_07129",3314,2924,3148,5336,6216,4445,7740,4350,7460,4994,5943,6109,5327,11667,7688,8721,2907,3012,2584,7408,3169,5076,3516,5494,5932,5323,10893,4815,6150,2627,1736,2375,10215
"MED134_07124",5987,6849,6534,17173,16858,13907,21745,11391,22739,12378,20162,11400,10604,20190,14670,10402,5704,4081,6418,15068,7254,9404,9661,13021,12296,11866,15821,12442,10158,14081,14028,12662,17801
"MED134_07119",167,134,179,698,752,684,988,605,1052,988,1028,914,846,1466,1460,1293,803,685,773,2492,1219,1738,1804,1574,1852,1747,1906,1341,1286,1723,1787,1652,2528
"MED134_07114",202,226,175,399,475,356,606,305,538,433,658,347,249,563,391,297,177,127,196,458,264,371,290,393,413,469,329,334,263,199,145,141,488
"MED134_07109",821,795,1008,1272,1428,1017,1599,970,1176,944,1222,855,843,1555,1290,1069,668,656,857,1320,650,1022,904,940,1034,1068,1083,824,899,1100,1061,983,1592
"MED134_07104",1035,1118,1015,1759,1854,1422,2000,1252,1643,1234,1668,1733,1855,3167,2279,1488,721,560,1025,1538,926,1035,1221,1256,1113,1309,1584,1548,1361,1715,1818,1561,2325
"MED134_07099",55,59,1659,130,127,97,157,94,166,120,209,222,214,378,281,234,70,45,1886,131,124,100,85,127,127,131,341,199,207,264,255,246,348
"MED134_07094",4117,4062,3178,5662,6296,4265,7042,4130,7199,4637,5754,1948,1898,3652,2272,2649,3631,2755,3569,6171,2531,4086,3708,5805,5524,4967,3822,2189,2371,3624,3489,3357,5183
"MED134_07089",72,79,96,284,269,196,319,177,429,339,381,556,395,831,745,829,165,154,151,689,290,475,528,599,663,590,1609,1097,874,1270,1308,1228,1664
"MED134_07079",741,842,830,984,1092,995,1323,795,1259,865,1399,1486,1524,2606,1771,1394,599,457,900,1067,659,826,665,917,1022,1070,1943,1478,1177,1052,894,994,2127
"MED134_07074",1495,1537,1492,2562,2827,2357,3222,1958,4046,2386,3413,3894,4198,6852,4640,3884,1412,901,1484,2623,1421,1699,1754,2665,2620,2641,5749,4073,3644,4044,3632,3619,6178
"MED134_07069",416,497,382,642,724,626,910,458,972,555,887,855,951,1719,1216,930,400,283,417,646,380,421,475,650,578,683,1272,1056,871,829,753,780,1624
"MED134_07064",3222,3565,3233,5397,5666,4694,6793,3821,7032,4240,6042,6677,6891,12273,8618,6528,3175,2002,3445,5552,3132,3804,4003,4713,4857,4895,9274,7095,6171,7854,7451,7050,11111
"MED134_07059",110,154,91,189,229,192,249,162,443,284,357,322,357,611,382,330,104,59,99,193,130,156,198,241,279,289,542,474,334,136,120,145,530
"MED134_07054",911,848,772,1512,1898,1431,1956,1191,2754,1613,2546,2412,2382,4229,2701,2379,694,485,863,1597,839,1174,786,1900,1884,1789,3176,2225,2067,2429,2224,2236,3541
"MED134_07049",472,475,383,887,1033,746,1194,635,1608,937,1316,1084,1113,1884,1108,1022,369,280,451,916,522,606,572,1056,1038,979,1654,1108,937,1079,957,957,1643
"MED134_07044",487,498,346,917,1111,818,1183,726,1624,970,1501,1236,1194,2219,1524,1237,444,286,485,992,497,672,586,1109,1024,1085,1795,1205,1084,1337,1215,1219,1892
"MED134_07039",337,394,343,739,829,609,879,552,1218,755,1175,948,968,1652,1139,968,295,203,355,754,443,527,444,849,826,804,1390,1017,831,826,788,799,1512
"MED134_07034",316,350,270,627,709,465,804,480,1235,662,1075,800,632,1381,930,870,268,193,316,619,369,446,374,747,786,699,1126,869,713,656,608,640,1340
"MED134_07029",927,1035,842,1805,2027,1722,2466,1415,3211,1741,2487,1832,2051,3494,2281,2167,756,539,1008,1920,992,1257,1180,1984,1969,1931,2959,1989,1878,1917,1866,1796,3503
"MED134_07024",2022,2073,1777,3966,4366,3235,5155,2670,6482,3686,4857,4109,4012,7697,5304,4132,1541,1114,1889,4029,2037,2411,2558,4268,4122,3729,5321,3946,3901,5014,5297,4662,7007
"MED134_07019",703,713,601,1395,1569,1307,1774,1056,2289,1302,1901,1487,1703,2671,2000,1563,592,425,639,1417,866,924,1001,1384,1411,1375,2250,1515,1571,1383,1307,1329,2603
"MED134_07014",1504,1570,1421,3115,3498,2376,4129,2315,4839,2706,4176,2874,2580,5182,3875,3052,1358,877,1518,3310,1805,2043,1898,2996,2707,2744,4269,2846,2829,2135,1809,2122,4725
"MED134_07009",321,318,210,606,618,488,803,396,945,524,774,460,403,800,726,479,242,142,272,596,348,374,391,502,550,474,635,568,473,290,241,236,853
"MED134_07004",846,863,623,1832,1881,1629,2404,1218,2446,1389,2168,1351,1343,2366,1755,1405,687,458,771,1730,989,1070,1137,1483,1408,1369,1699,1314,1279,1473,1269,1359,2367
"MED134_06999",681,662,602,1412,1540,1122,1821,954,1771,1080,1568,1020,825,1622,1372,1038,621,420,576,1553,808,1041,877,1058,1186,1051,1329,999,919,1073,921,972,1562
"MED134_06994",25,35,21,57,69,39,50,27,55,47,59,97,71,194,127,101,26,19,23,43,23,24,25,40,39,47,157,100,108,128,153,132,177
"MED134_06989",634,724,580,1188,1267,914,1467,748,1648,984,1578,1466,1358,2653,2028,1538,482,444,698,1063,637,792,699,1042,962,1085,1991,1367,1323,1620,1513,1372,2451
"MED134_06984",2153,2084,1316,2676,3110,2539,3272,2267,3530,2373,3701,2603,2985,5016,3205,2726,1814,1202,1587,3025,1525,2156,2082,2474,2575,2297,3885,2453,2321,2001,1669,1852,4011
"MED134_06974",743,787,560,1414,1554,1221,1855,1088,1789,1281,2051,1574,1553,2860,2328,1945,597,449,577,1482,762,1005,886,1285,1300,1257,2034,1372,1465,1317,1197,1234,2512
"MED134_06969",984,1025,785,1861,1928,1252,2303,1303,2463,1823,2657,1771,1412,3055,2492,2131,865,663,773,1897,1036,1507,1213,1667,1936,1627,2632,1778,1653,1590,1247,1357,2981
"MED134_06964",1116,1009,824,1669,1757,1657,2166,1404,1776,1428,1802,1476,1649,2824,1938,1676,998,733,836,1850,881,1354,1324,1308,1416,1361,2009,1464,1286,1082,790,902,2130
"MED134_06959",1203,1289,866,1998,2230,1802,2410,1483,2606,1876,2512,2334,2400,4125,3209,3064,1043,710,1032,1926,1014,1390,1389,1821,1767,1790,3585,2579,2449,2414,2054,2095,4116
"MED134_06954",2036,2030,1865,2661,3065,2415,3257,2188,4059,2848,3437,3488,3527,6161,4434,4190,1846,1430,1812,2785,1598,2433,2011,3005,3188,3165,5502,3465,3399,3161,2855,2949,6070
"MED134_06949",105,121,83,141,174,120,180,112,252,132,182,205,257,396,242,201,95,50,96,127,74,83,104,156,136,116,332,194,197,235,207,197,326
"MED134_06944",167,195,146,236,272,196,304,163,417,211,317,350,389,603,401,312,159,93,153,215,133,127,178,260,242,222,484,333,299,307,250,264,544
"MED134_06939",169,203,125,242,287,209,321,196,345,201,324,334,337,614,432,302,176,111,163,221,99,129,141,224,219,219,456,310,312,234,171,200,515
"MED134_06934",196,215,169,257,300,239,299,191,383,226,355,329,352,719,477,378,176,123,171,231,132,185,152,241,242,245,559,372,393,319,271,264,635
"MED134_06929",103,86,51,93,108,74,103,86,170,90,143,149,131,239,158,141,68,56,70,96,49,66,64,105,111,108,216,143,159,107,120,106,220
"MED134_06924",128,140,124,171,189,134,225,136,251,171,214,391,272,581,480,551,130,68,161,217,84,148,124,166,213,176,645,436,458,343,230,295,632
"MED134_06919",188,245,226,307,345,260,441,218,423,276,404,585,534,1017,866,847,197,129,207,309,203,297,215,263,336,297,968,664,702,432,320,447,1081
"MED134_15094",300,343,293,401,500,292,473,252,373,327,426,271,223,460,417,396,220,242,331,396,234,370,257,290,405,342,396,287,269,295,267,270,568
"MED134_06909",351,427,251,511,593,467,683,369,746,456,834,833,835,1430,1067,821,270,162,293,507,315,341,331,442,472,475,1260,871,763,689,577,615,1333
"MED134_06904",451,590,617,854,965,750,1216,623,1204,766,1382,1228,1226,2425,1804,1475,376,241,693,783,526,607,600,791,737,802,1669,1357,1386,774,644,693,2227
"MED134_06894",2191,2436,1991,3829,4221,3222,4607,2507,5585,3125,4532,4405,4261,7833,3697,2861,1941,1217,2170,3516,1918,2253,2197,3628,3522,3360,5874,4398,2583,3135,2916,2760,4655
"MED134_06889",3103,3422,2748,4971,5474,4337,6252,3466,6805,4195,6121,5106,4986,9159,4622,4325,2681,1724,2996,4696,2672,3541,3136,4469,4587,4107,7680,5570,3493,3074,2433,2890,6323
"MED134_06884",1148,1178,1058,1807,1839,1446,2327,1254,1993,1234,1537,1135,1150,1913,1207,1065,1016,812,1175,1796,925,1235,1259,1260,1305,1187,1719,1245,924,1131,1063,1062,1898
"MED134_06879",2252,2254,1762,3339,3583,2992,4543,2366,3940,2299,3441,1996,1977,3719,2344,2049,2032,1254,2005,3389,1553,2157,1711,2379,2383,2132,3015,1868,1790,2303,2310,2077,3740
"MED134_06874",4110,4289,3818,6353,6564,5630,8087,4613,6738,4231,5830,3947,4105,7239,5022,3833,3578,2614,3922,6116,3203,4351,3921,4198,4287,4145,5106,3704,3483,4769,4754,4266,6521
"MED134_06869",188,256,249,299,377,356,471,289,356,317,412,375,500,813,565,566,151,147,234,364,244,289,260,291,296,344,513,472,473,613,560,445,836
"MED134_06864",251,298,324,477,473,409,546,355,449,399,479,676,702,1269,925,848,232,185,292,473,250,379,371,423,457,469,873,695,784,733,775,681,966
"MED134_06859",122,145,223,255,214,190,327,205,258,241,289,447,394,801,622,611,123,125,161,270,163,243,201,209,254,252,640,473,480,577,588,461,824
"MED134_06854",80,89,115,132,121,85,151,86,139,100,150,126,140,284,241,178,65,61,122,107,67,72,75,105,105,104,166,171,154,200,219,198,309
"MED134_06849",449,454,652,755,814,625,955,586,822,568,897,619,595,1124,835,634,464,296,615,764,410,542,582,671,625,611,788,576,622,650,603,628,988
"MED134_06844",659,631,719,1010,1031,713,1250,707,1195,745,1042,979,811,1724,1323,1067,631,453,656,1009,496,668,584,840,808,735,1404,859,959,1380,1419,1273,1696
"MED134_06839",95,126,116,331,603,290,398,278,1317,647,695,894,992,1559,788,745,71,59,112,353,202,301,219,536,410,450,1000,943,591,743,681,623,936
"MED134_06834",14,30,33,150,278,118,181,121,546,279,244,333,331,584,275,382,19,21,26,175,87,149,108,203,190,135,414,401,271,286,285,283,402
"MED134_06829",132,275,223,936,1451,612,927,690,2061,1040,919,1213,1171,2242,1254,1091,114,149,298,887,456,588,568,771,628,547,1546,1348,965,1057,1061,953,1513
"MED134_06824",200,429,375,1332,2187,933,1490,1099,3622,1650,1557,2393,2337,4008,2407,1970,153,196,334,1301,729,905,849,1276,923,896,2511,2397,1631,1758,1732,1569,2570
"MED134_06819",90,145,120,396,683,249,409,322,1135,501,490,604,448,847,612,493,60,69,125,424,247,309,268,407,299,283,583,688,427,448,446,418,634
"MED134_06814",116,228,180,665,1139,470,820,581,1923,1027,945,1013,1003,1757,1014,916,102,109,205,744,431,595,432,786,662,580,1183,1221,722,951,950,883,1337
"MED134_06809",20,32,24,102,147,65,130,62,254,109,154,143,109,235,167,158,14,20,22,118,56,90,68,94,86,102,186,177,99,142,107,113,207
"MED134_06804",1929,1736,1646,3796,3758,4026,4929,2862,2745,2488,2980,1498,1670,2512,2261,2318,2645,2173,2234,4598,2824,3701,4165,2145,2799,2609,2393,1258,1373,2363,1939,2044,3910
"MED134_06799",2688,2650,2093,5105,5123,3757,6168,3042,4132,2796,4174,3047,2573,4812,4320,3628,3698,2802,2912,5814,3105,4020,3882,2900,3859,3014,4022,2294,2544,3713,2910,3336,6666
"MED134_06794",3626,3650,3691,6879,6861,5908,8457,4913,8194,5919,8152,7502,6959,12427,9711,8428,4244,3221,4216,7766,4776,6193,5410,5975,6872,6279,10732,6769,6266,8670,7927,7927,12744
"MED134_06789",2176,2123,2106,3985,4224,3162,5173,2914,5607,3682,4984,4795,4533,8550,4941,4098,2258,1604,2523,4278,2058,2913,2555,3836,3952,3731,6166,4400,3502,4561,4514,3969,6390
"MED134_06784",1561,1594,1264,2195,2250,1570,2768,1402,3134,1781,2584,2503,2113,4404,2602,1933,1511,1014,1720,2415,1053,1446,1419,2108,2273,1904,3357,2360,1696,2469,2428,2210,3622
"MED134_06779",308,291,250,506,511,352,677,328,826,429,675,550,474,1042,501,442,242,203,352,490,228,287,245,521,489,479,892,574,351,575,640,584,830
"MED134_06774",3022,3187,2612,4368,4625,3032,5132,2668,4465,3027,4576,4035,3583,6921,5286,3991,2528,1784,2685,4010,2438,2715,2758,2980,3070,2908,5278,4390,3343,3999,3350,3454,6412
"MED134_06769",938,1130,1220,1546,1508,1282,1869,985,1197,851,1498,1809,1752,3228,2510,2010,1620,1102,1434,1593,1163,1205,1263,839,995,1018,2752,1670,1625,2384,2268,2180,3553
"MED134_15123",1163,1086,1133,1842,1677,1552,2427,1390,1472,1472,1468,1376,1254,2411,2176,2368,1031,840,1026,2081,1292,1746,1619,1391,1524,1295,1923,1139,1325,1719,1536,1609,3027
"MED134_15124",1017,1046,635,1334,1406,1222,1555,936,1511,990,1610,988,1008,1763,1328,939,801,455,751,1274,547,796,778,1026,1058,922,1104,813,842,671,519,652,1526
"MED134_06754",768,829,812,1119,1124,893,1430,769,868,654,967,1025,1053,1909,1605,1109,889,622,853,1052,642,755,840,707,679,614,1183,899,932,1306,1292,1185,1822
"MED134_06749",127,127,89,177,182,165,257,131,150,94,194,183,182,310,243,207,109,78,116,177,93,97,123,133,97,87,246,184,141,230,184,197,317
"MED134_15127",41,42,27,67,47,37,59,28,29,27,30,26,26,62,33,40,57,37,47,81,25,28,64,27,42,23,69,35,31,77,66,55,123
"MED134_06744",177,182,158,269,250,185,349,128,121,113,142,172,162,334,227,239,262,201,243,304,206,205,293,125,177,115,343,181,173,298,257,241,509
"MED134_06739",109,112,93,144,125,157,206,93,75,54,63,84,72,106,114,122,214,144,144,180,128,101,203,37,73,57,121,84,96,95,62,93,232
"MED134_06734",436,523,541,853,670,659,1052,485,448,362,525,736,630,1212,1131,782,937,560,744,811,518,532,655,371,424,405,1005,565,600,1105,1129,1004,1481
"MED134_06729",1056,1052,1608,1952,1818,1587,2284,1465,1868,1386,1640,1108,1118,1925,1583,1443,956,787,1394,2053,1223,1717,1454,1313,1368,1479,1730,1102,1137,1671,1558,1543,2082
"MED134_06724",947,900,1256,1951,1762,1418,2224,1419,1616,1343,1585,1017,979,1835,1360,1191,786,638,1036,2121,1295,1723,1584,1214,1357,1392,1408,995,955,1316,1379,1201,1792
"MED134_06719",2319,2054,2839,3636,3656,2977,4505,2886,3531,2758,3367,2780,2555,4652,3868,3469,1744,1616,2295,4120,2298,3235,2772,2488,2867,2896,3847,2536,2706,3603,3445,3020,4481
"MED134_06714",126,126,111,193,177,164,230,90,84,46,90,131,106,205,167,135,326,201,229,235,103,109,170,75,70,80,172,99,95,170,174,147,289
"MED134_06709",140,150,162,236,193,177,289,148,146,95,135,161,172,289,245,166,311,195,224,274,153,173,171,101,126,119,237,133,153,231,193,187,337
"MED134_06704",951,1036,759,1322,1511,976,1661,903,1410,925,1731,1293,1179,2392,1848,1241,696,530,796,1214,555,770,589,1000,877,935,1493,964,1084,870,609,766,2000
"MED134_06699",814,894,584,1040,1146,640,1170,532,1145,727,1281,995,757,1713,1449,927,597,424,695,954,416,620,517,745,733,669,1144,891,760,961,879,865,1551
"MED134_06694",335,369,376,391,474,306,518,256,429,291,565,404,419,839,817,482,225,174,409,369,253,294,249,257,274,355,498,463,420,374,284,317,803
"MED134_06689",60,55,57,115,125,101,134,90,140,102,148,144,183,259,196,168,33,42,61,111,48,79,70,114,111,109,238,159,155,166,127,103,228
"MED134_06684",1620,1681,1604,2922,3530,2190,3798,2030,3913,2321,3806,2779,2539,4915,4375,3084,1417,985,1661,2843,1444,1862,1583,2928,2737,2662,3056,2215,2628,3817,3744,3356,4965
"MED134_06679",437,465,501,940,1128,640,1166,586,1257,813,1263,722,688,1390,1217,967,392,300,497,971,575,686,635,975,971,857,931,680,769,1099,1093,1063,1502
"MED134_06674",1883,1966,1838,3780,4588,3018,4849,2888,5310,3546,5348,3498,3312,6435,5484,4636,1636,1332,1845,3860,2182,2883,2427,4146,3982,3775,4676,2965,3677,4712,4527,4420,7250
"MED134_15143",674,766,542,1267,1439,949,1429,958,1441,1118,1557,1050,1011,1830,1556,1216,599,364,632,1186,728,917,982,1142,1167,1103,1436,1081,1116,1231,1152,1122,2045
"MED134_06669",3356,3763,3010,4279,4934,3103,4986,2989,4663,3312,5000,3716,3377,6886,5603,3640,3005,1868,3390,4242,2234,2700,3177,3858,3793,3736,3972,2886,3252,4930,4955,4336,6854
